model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
LinearSVC_tfidf,0.7796052631578947,0.3598796364925397,0.4029829545454545,0.34863339785214786,0.36076919107341243
RandomForest_tfidf,0.75,0.33469272662821054,0.3961855050564727,0.33469272662821054,0.34114912526808977
LogisticRegression_tfidf,0.7006578947368421,0.19963155124445447,0.22682485075074066,0.19963155124445447,0.1913492713165067
MultinomialNB_tfidf,0.5592105263157895,0.07291740517546969,0.07677273981421871,0.07291740517546969,0.060813489189916956
