model,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,top3_accuracy
LinearSVC,0.7856301531213192,0.5889215390281894,0.6099155665326818,0.6835155486008275,0.5889215390281894,
RandomForest,0.7114252061248527,0.4891621593731215,0.5130513783437115,0.6009085505595643,0.4891621593731215,0.9081272084805654
LogisticRegression,0.7102473498233216,0.3596345905505757,0.3724571887567195,0.47747939724207394,0.3596345905505757,0.8833922261484098
MultinomialNB,0.4758539458186101,0.09889263043495913,0.09079602983913418,0.16438589015151514,0.09889263043495913,0.6878680800942285
